x,y,z,t,d,dx,dy,dz,eta
0.0048958992,-0.001007277,0.0,0.005,0.0,0.0,0.0,0,0.0
0.0049726,-0.0005225871,0.0,0.005,0.0,0.0,0.0,0,0.0
0.0048665591,-0.0011327368,0.0003221367,0.005,9.933468447798077e-08,-9.829999925159427e-08,1.4300000295008886e-08,0,-9.898253224699394e-08
0.0048963085,0.0010046906,0.05,0.005,0.0,0.0,0.0,0,0.0
0.0049726,0.0005225871,0.05,0.005,0.0,0.0,0.0,0,0.0
0.0048664509,0.0011331464,0.0496799925,0.005,1.620154321813061e-08,-1.5699999522666985e-08,-3.999999886872274e-09,0,-1.619807300529824e-08
0.0010135226,-0.0048948158,0.05,0.005,0.0,0.0,0.0,0,0.0
0.0005225731,-0.0049726,0.05,0.005,0.0,0.0,0.0,0,0.0
0.0011226682,-0.0048691538,0.049680643,0.005,1.608011146458921e-08,-3.899999878598237e-09,1.5599999514392948e-08,0,-1.6077398409981847e-08
0.0010141994,0.0048947085,0.0,0.005,0.0,0.0,0.0,0,0.0
0.0005225731,0.0049726,0.0,0.005,0.0,0.0,0.0,0,0.0
0.0011197737,0.004869944,0.0003132974,0.005,8.961188768807915e-08,-4.2300001723560854e-08,-7.900000298377563e-08,0,-8.646981420647182e-08
0.0015284355,-0.0047597628,0.05,0.005,0.0,0.0,0.0,0,0.0
0.0015230843,0.0047611958,0.0,0.005,0.0,0.0,0.0,0,0.0
0.0047626433,-0.0015176994,0.0,0.005,0.0,0.0,0.0,0,0.0
0.0047613865,0.0015223891,0.05,0.005,0.0,0.0,0.0,0,0.0
-0.001545,-0.0047553,0.05,0.005,0.0,0.0,0.0,0,0.0
-0.0020337,-0.0045677,0.05,0.005,0.0,0.0,0.0,0,0.0
-0.0015416,-0.0047564,0.0496792,0.005,1.6412494474593586e-08,5.099999977886682e-09,1.5599999514392948e-08,0,-1.6412442172680786e-08
-0.001545,0.0047553,0.0,0.005,0.0,0.0,0.0,0,0.0
-0.0020337,0.0045677,0.0,0.005,0.0,0.0,0.0,0,0.0
-0.0015412233,0.0047565198,0.0003358517,0.005,7.597611784149194e-08,3.4000000592726565e-09,-7.589999739820996e-08,0,-7.325218170928238e-08
-0.0047553,0.001545,0.05,0.005,0.0,0.0,0.0,0,0.0
-0.0045678,0.0020336,0.05,0.005,0.0,0.0,0.0,0,0.0
-0.0047563,0.001542,0.0496793,0.005,1.6443843620095322e-08,1.5599999514392948e-08,-5.199999986160719e-09,0,-1.644328545460233e-08
-0.0047553,-0.001545,0.0,0.005,0.0,0.0,0.0,0,0.0
-0.0045678,-0.0020336,0.0,0.005,0.0,0.0,0.0,0,0.0
-0.0047564236,-0.0015415763,0.0003423175,0.005,1.1520317144686487e-07,9.810000278775988e-08,6.039999789209105e-08,0,-1.119431473012647e-07
-0.0020338,0.0045677,0.05,0.005,0.0,0.0,0.0,0,0.0
-0.0015451,0.0047553,0.05,0.005,0.0,0.0,0.0,0,0.0
-0.0020750868,0.0045469257,0.0496328166,0.005,1.8480530883380197e-08,7.699999748922437e-09,-1.6799999613681393e-08,0,-1.8480505968414274e-08
-0.0045677,-0.0020337,0.05,0.005,0.0,0.0,0.0,0,0.0
-0.0047589726,-0.0015313963,0.05,0.005,0.0,0.0,0.0,0,0.0
